Designator,Mid X,Mid Y,Layer,Rotation
C1,145.1,-80.32,T,270.0
C10,172.95,-88.83,T,270.0
C11,172.95,-85.706,T,90.0
C12,167.85,-80.45,T,0.0
C2,147.58,-83.4,T,180.0
C3,169.775,-92.3,T,0.0
C4,169.68,-90.4,T,0.0
C5,161.53,-80.6,T,0.0
C6,158.15,-89.37,T,90.0
C7,166.7,-92.3,T,180.0
C8,171.15,-85.08,T,270.0
C9,169.9,-85.08,T,270.0
D1,160.95,-75.665,T,270.0
D2,163.15,-75.6275,T,270.0
J1,150.0,-73.0,T,180.0
J2,132.6,-73.99,T,90.0
MT1,150.0,-100.0,T,90.0
R1,156.05,-75.1,T,270.0
R2,143.95,-75.21,T,90.0
R3,159.0,-75.36,T,270.0
R4,167.85,-94.45,T,270.0
R5,154.3,-85.07,T,0.0
R6,164.85,-75.35,T,270.0
SW1,132.0,-82.0,T,180.0
SW2,132.0,-100.0,T,180.0
SW3,132.0,-118.0,T,180.0
SW4,150.0,-118.0,T,180.0
SW5,169.25,-75.8,T,90.0
U1,147.55,-80.8625,T,90.0
U2,153.35,-80.7,T,0.0
U3,164.0,-86.45,T,180.0
Y1,175.95,-87.25,T,90.0
